,seller_id,last_transaction,recency_day,order_freq,gmv,aov,revenue,voucher_used,voucher_val,buyer_count,num_of_buyer_province,num_of_buyer_city,seller_category,cluster,cluster_name
763,631a53e47255a77e0e6f92d3,2023-03-10,297,1,4363700,4363700.0,32727,0,0.0,1,1,1,Menengah,1,Big Order Occasional Seller
767,631a53e57255a77e0e6f92fa,2023-05-23,223,1,155000,155000.0,1162,0,0.0,1,1,1,Mikro,1,Big Order Occasional Seller
794,631a53e87255a77e0e6f96df,2023-06-02,213,1,4749998,4749998.0,35624,0,0.0,1,1,1,Menengah,1,Big Order Occasional Seller
813,631a53e97255a77e0e6f9878,2023-04-04,272,1,157850,157850.0,1183,0,0.0,1,1,1,Menengah,1,Big Order Occasional Seller
830,631a53ea7255a77e0e6f9985,2023-06-14,201,1,393745000,393745000.0,1968725,0,0.0,1,1,1,Kecil,1,Big Order Occasional Seller
850,631a53eb7255a77e0e6f9a73,2023-06-07,208,1,7500000,7500000.0,56250,0,0.0,1,1,1,Mikro,1,Big Order Occasional Seller
876,631a56867255a77e0e702f27,2023-04-19,257,1,9435000,9435000.0,70762,0,0.0,1,1,1,Menengah,1,Big Order Occasional Seller
884,631a56997255a77e0e7031b2,2023-02-02,333,1,93702000,93702000.0,702765,0,0.0,1,1,1,Kecil,1,Big Order Occasional Seller
890,631a56f45b9755003d27343c,2023-06-08,207,2,132966900,66483450.0,997251,0,0.0,1,1,1,Swasta,1,Big Order Occasional Seller
899,631a56f65b9755003d2736bb,2023-05-22,224,2,17576280,8788140.0,131822,0,0.0,1,1,1,Menengah,1,Big Order Occasional Seller
903,631a56f75b9755003d27386d,2023-06-02,213,1,2560500,2560500.0,19203,0,0.0,1,1,1,Menengah,1,Big Order Occasional Seller
905,631a56f85b9755003d2739a0,2023-01-25,341,1,173215,173215.0,1299,0,0.0,1,1,1,Kecil,1,Big Order Occasional Seller
933,631a56fc5b9755003d274098,2023-04-11,265,1,41250000,41250000.0,309375,0,0.0,1,1,1,Menengah,1,Big Order Occasional Seller
952,631a56fe5b9755003d2743d6,2023-04-04,272,1,146795000,146795000.0,1100962,0,0.0,1,1,1,Mikro,1,Big Order Occasional Seller
960,631a56ff5b9755003d27453c,2023-05-27,219,2,1160000,580000.0,8700,0,0.0,1,1,1,Mikro,1,Big Order Occasional Seller
962,631a56ff5b9755003d2745b1,2023-05-18,228,2,94949955,47474977.5,712124,0,0.0,1,1,1,Mikro,1,Big Order Occasional Seller
990,631a57025b9755003d274b3a,2023-05-11,235,2,10230000,5115000.0,76725,0,0.0,1,1,1,Mikro,1,Big Order Occasional Seller
1012,631a57035b9755003d274d81,2023-03-17,290,1,147491250,147491250.0,1106184,0,0.0,1,1,1,Kecil,1,Big Order Occasional Seller
1044,631a57065b9755003d275188,2023-03-31,276,1,341460,341460.0,2560,0,0.0,1,1,1,Mikro,1,Big Order Occasional Seller
1091,631a57095b9755003d27554c,2023-02-02,333,1,22644000,22644000.0,169830,0,0.0,1,1,1,Menengah,1,Big Order Occasional Seller
1106,631a57095b9755003d275659,2023-04-13,263,1,88000,88000.0,660,0,0.0,1,1,1,Mikro,1,Big Order Occasional Seller
1165,631a570b5b9755003d27594d,2023-04-20,256,2,19230750,9615375.0,144229,0,0.0,1,1,1,Menengah,1,Big Order Occasional Seller
1175,631a570c5b9755003d275a1f,2023-05-24,222,2,21645000,10822500.0,162337,0,0.0,1,1,1,Kecil,1,Big Order Occasional Seller
1178,631a570c5b9755003d275a48,2023-05-23,223,1,18700000,18700000.0,140250,0,0.0,1,1,1,Mikro,1,Big Order Occasional Seller
1181,631a570c5b9755003d275a87,2023-05-28,218,3,13800000,4600000.0,103500,0,0.0,1,1,1,Menengah,1,Big Order Occasional Seller
1184,631a570d5b9755003d275b98,2023-06-07,208,1,111000,111000.0,832,0,0.0,1,1,1,Swasta,1,Big Order Occasional Seller
1204,631a57135b9755003d275ec6,2023-01-19,347,2,38285000,19142500.0,287137,0,0.0,2,1,1,Menengah,1,Big Order Occasional Seller
