,buyer_id,last_transaction,recency_day,order_freq,gmv,aov,revenue,voucher_used,voucher_val,seller_count,num_of_seller_province,num_of_seller_city,cluster,cluster_name
912,631a54837255a77e0e6fc572,2023-07-11,174,2,1241690400,620845200.0,3104226,0,0.0,1,1,1,0,Seasonal Buyer
916,631a54857255a77e0e6fc5bf,2023-10-12,81,4,2530500,632625.0,18977,0,0.0,4,1,1,0,Seasonal Buyer
917,631a54867255a77e0e6fc5fb,2023-09-08,115,2,869574,434787.0,6521,0,0.0,2,2,2,0,Seasonal Buyer
926,631a548a5b9755003d269b9b,2023-08-30,124,2,22950000,11475000.0,172125,0,0.0,1,1,1,0,Seasonal Buyer
930,631a548b7255a77e0e6fc71b,2023-10-10,83,7,9106231,1300890.142857143,68295,0,0.0,5,3,4,0,Seasonal Buyer
957,631a54957255a77e0e6fc992,2023-08-18,136,2,4945050,2472525.0,37087,0,0.0,1,1,1,0,Seasonal Buyer
963,631a54977255a77e0e6fca16,2023-10-11,82,2,1890890,945445.0,14181,0,0.0,2,2,2,0,Seasonal Buyer
972,631a549a5b9755003d269fa7,2023-08-09,145,3,68475000,22825000.0,513561,0,0.0,1,1,1,0,Seasonal Buyer
973,631a549a7255a77e0e6fcada,2023-09-07,116,3,945801,315267.0,7092,0,0.0,3,2,3,0,Seasonal Buyer
980,631a549b7255a77e0e6fcb4e,2023-08-08,146,2,2422800,1211400.0,18170,0,0.0,2,2,2,0,Seasonal Buyer
988,631a549f7255a77e0e6fcc16,2023-10-10,83,4,475240,118810.0,3563,0,0.0,4,1,4,0,Seasonal Buyer
995,631a54a17255a77e0e6fccb7,2023-10-24,69,3,1121000,373666.6666666667,8407,0,0.0,2,1,2,0,Seasonal Buyer
1000,631a54a35b9755003d26a1a2,2023-09-19,104,2,1014717,507358.5,7609,0,0.0,2,1,2,0,Seasonal Buyer
1002,631a54a45b9755003d26a20a,2023-09-14,109,1,926850,926850.0,6951,0,0.0,1,1,1,0,Seasonal Buyer
1003,631a54a47255a77e0e6fcd61,2023-10-20,73,1,619846,619846.0,4648,0,0.0,1,1,1,0,Seasonal Buyer
1004,631a54a65b9755003d26a252,2023-10-11,82,3,1237500,412500.0,9280,0,0.0,1,1,1,0,Seasonal Buyer
