,seller_id,last_transaction,recency_day,order_freq,gmv,aov,revenue,voucher_used,voucher_val,buyer_count,num_of_buyer_province,num_of_buyer_city,seller_category,cluster,cluster_name
97,631a507e5b9755003d24fe93,2023-12-21,11,69,5555426729,80513430.85507247,41665673,0,0.0,5,2,2,Kecil,0,Hyper-Active Seller
100,631a507e5b9755003d24fed5,2023-12-30,2,26,2059855206,79225200.23076923,13886495,0,0.0,8,3,6,Kecil,0,Hyper-Active Seller
101,631a507e7255a77e0e6e36cb,2023-12-21,11,15,1624441992,108296132.8,12183306,0,0.0,3,2,3,Mikro,0,Hyper-Active Seller
104,631a507f5b9755003d24ff03,2023-11-26,36,1,438636,438636.0,3289,0,0.0,1,1,1,Kecil,0,Hyper-Active Seller
105,631a507f5b9755003d24ff15,2023-12-27,5,19,3661339127,192702059.31578946,22143979,0,0.0,10,4,9,Kecil,0,Hyper-Active Seller
106,631a507f5b9755003d24ff2f,2023-12-16,16,2,72150000,36075000.0,541124,0,0.0,1,1,1,Menengah,0,Hyper-Active Seller
107,631a507f5b9755003d24ff37,2023-12-20,12,11,2464428608,224038964.36363637,13156209,0,0.0,6,2,5,Kecil,0,Hyper-Active Seller
108,631a507f5b9755003d24ff53,2023-11-30,32,7,379398000,54199714.28571428,2845483,0,0.0,1,1,1,Kecil,0,Hyper-Active Seller
109,631a507f5b9755003d24ff55,2023-11-16,46,1,62715000,62715000.0,470362,0,0.0,1,1,1,Kecil,0,Hyper-Active Seller
110,631a507f5b9755003d24ff8c,2023-12-21,11,121,7572949778,62586361.80165289,56797090,0,0.0,7,1,3,Kecil,0,Hyper-Active Seller
112,631a507f5b9755003d24ffa4,2023-12-22,10,9,371823100,41313677.777777776,2788669,0,0.0,3,2,3,Kecil,0,Hyper-Active Seller
113,631a507f5b9755003d24ffba,2023-12-31,1,46,2187489312,47554115.47826087,16406151,0,0.0,10,3,6,Kecil,0,Hyper-Active Seller
114,631a507f7255a77e0e6e3834,2023-12-31,1,693,41865179436,60411514.33766234,278977529,4,93031.0,13,2,5,Menengah,0,Hyper-Active Seller
115,631a50805b9755003d24ffe8,2023-12-05,27,2,39127500,19563750.0,293456,0,0.0,2,2,2,Kecil,0,Hyper-Active Seller
116,631a50805b9755003d24ffee,2023-12-12,20,19,2674720706,140774774.0,16984845,0,0.0,13,6,11,Kecil,0,Hyper-Active Seller
117,631a50805b9755003d24fff8,2023-12-30,2,74,1034542512,13980304.216216216,7759034,0,0.0,10,3,4,Kecil,0,Hyper-Active Seller
118,631a50805b9755003d250022,2023-12-31,1,50,3806348708,76126974.16,28547599,0,0.0,8,1,2,Menengah,0,Hyper-Active Seller
121,631a50805b9755003d25003a,2023-12-30,2,28,1270579005,45377821.60714286,9529331,0,0.0,3,2,2,Kecil,0,Hyper-Active Seller
122,631a50805b9755003d250044,2023-11-01,61,3,164649607,54883202.333333336,1234870,0,0.0,1,1,1,Kecil,0,Hyper-Active Seller
123,631a50805b9755003d250066,2023-11-28,34,4,263663,65915.75,1976,0,0.0,3,2,3,Kecil,0,Hyper-Active Seller
124,631a50815b9755003d25008c,2023-12-29,3,63,3633053444,57667514.984126985,26423858,0,0.0,15,8,12,Menengah,0,Hyper-Active Seller
125,631a50815b9755003d2500ac,2023-11-30,32,3,138528000,46176000.0,1038960,0,0.0,1,1,1,Menengah,0,Hyper-Active Seller
126,631a50815b9755003d2500dc,2023-12-14,18,1,165723888,165723888.0,1242929,0,0.0,1,1,1,Kecil,0,Hyper-Active Seller
127,631a50815b9755003d2500ec,2023-11-03,59,2,517664289,258832144.5,3069407,0,0.0,2,1,1,Kecil,0,Hyper-Active Seller
129,631a50825b9755003d25012c,2023-11-22,40,6,475272260,79212043.33333333,3564540,0,0.0,2,1,2,Kecil,0,Hyper-Active Seller
130,631a50825b9755003d250130,2023-12-15,17,3,1383464,461154.6666666667,10375,0,0.0,3,3,3,Kecil,0,Hyper-Active Seller
131,631a50825b9755003d250132,2023-11-11,51,4,303725412,75931353.0,2277938,0,0.0,2,1,2,Kecil,0,Hyper-Active Seller
133,631a50835b9755003d250186,2023-12-20,12,36,2670114052,74169834.77777778,20025838,1,50000.0,13,5,8,Kecil,0,Hyper-Active Seller
134,631a50835b9755003d2501c4,2023-12-13,19,23,5630936044,244823306.26086956,30884942,0,0.0,13,4,11,Kecil,0,Hyper-Active Seller
136,631a50837255a77e0e6e3c9c,2023-11-25,37,2,35919600,17959800.0,269496,0,0.0,2,1,1,Menengah,0,Hyper-Active Seller
138,631a50845b9755003d250219,2023-12-07,25,1,69930000,69930000.0,524475,0,0.0,1,1,1,Menengah,0,Hyper-Active Seller
139,631a50845b9755003d250247,2023-12-06,26,37,1561695646,42207990.432432435,11712704,1,50000.0,5,2,3,Kecil,0,Hyper-Active Seller
140,631a50845b9755003d250269,2023-12-30,2,15,1331598556,88773237.06666666,9986987,0,0.0,3,1,1,Menengah,0,Hyper-Active Seller
142,631a50845b9755003d250283,2023-12-13,19,7,379451502,54207357.428571425,2845883,0,0.0,4,4,4,Menengah,0,Hyper-Active Seller
145,631a50855b9755003d2502b4,2023-12-26,6,1,273303800,273303800.0,1366519,0,0.0,1,1,1,Kecil,0,Hyper-Active Seller
146,631a50857255a77e0e6e3ed6,2023-12-23,9,9,376313000,41812555.55555555,2822343,0,0.0,1,1,1,Swasta,0,Hyper-Active Seller
147,631a50857255a77e0e6e3fa0,2023-12-30,2,7,1458150104,208307157.7142857,10936125,0,0.0,1,1,1,Menengah,0,Hyper-Active Seller
150,631a50885b9755003d25035b,2023-11-04,58,1,50988343,50988343.0,382412,0,0.0,1,1,1,Kecil,0,Hyper-Active Seller
155,631a50897255a77e0e6e447c,2023-12-12,20,1,11895600,11895600.0,89217,0,0.0,1,1,1,Menengah,0,Hyper-Active Seller
157,631a508a7255a77e0e6e44a3,2023-12-23,9,99,153962900,1555180.808080808,1154698,0,0.0,46,9,16,Kecil,0,Hyper-Active Seller
158,631a508a7255a77e0e6e44d6,2023-12-20,12,7,231990,33141.42857142857,1736,0,0.0,1,1,1,Kecil,0,Hyper-Active Seller
159,631a508a7255a77e0e6e44d8,2023-12-13,19,3,10799259,3599753.0,80994,0,0.0,3,2,3,Kecil,0,Hyper-Active Seller
162,631a508c7255a77e0e6e4504,2023-12-30,2,68,308541745,4537378.602941177,2314031,0,0.0,19,2,9,Menengah,0,Hyper-Active Seller
165,631a508d7255a77e0e6e4544,2023-12-19,13,2,481339686,240669843.0,2547747,0,0.0,1,1,1,Kecil,0,Hyper-Active Seller
166,631a508d7255a77e0e6e4548,2023-12-22,10,11,1716662732,156060248.36363637,9972367,0,0.0,2,1,1,Menengah,0,Hyper-Active Seller
167,631a508d7255a77e0e6e454a,2023-12-23,9,19,6998326321,368332964.2631579,27535295,0,0.0,3,3,3,Kecil,0,Hyper-Active Seller
168,631a508d7255a77e0e6e454e,2023-12-31,1,15,4620100158,308006677.2,18153833,0,0.0,4,2,3,Menengah,0,Hyper-Active Seller
169,631a508d7255a77e0e6e4550,2023-12-15,17,27,6544478136,242388079.1111111,31557712,0,0.0,3,2,2,Menengah,0,Hyper-Active Seller
171,631a508e5b9755003d2503c4,2023-10-28,65,2,195600000,97800000.0,1467000,0,0.0,1,1,1,Mikro,0,Hyper-Active Seller
172,631a508e5b9755003d2503cb,2023-11-15,47,2,176105941,88052970.5,1320794,0,0.0,1,1,1,Kecil,0,Hyper-Active Seller
173,631a508e5b9755003d2503d8,2023-11-21,41,9,987834588,109759398.66666667,7408756,0,0.0,2,2,2,Kecil,0,Hyper-Active Seller
175,631a508f5b9755003d2503df,2023-12-22,10,13,1134874822,87298063.23076923,8511555,0,0.0,6,2,5,Kecil,0,Hyper-Active Seller
178,631a50915b9755003d250416,2023-12-13,19,27,1628385177,60310562.11111111,11538519,0,0.0,7,3,6,Kecil,0,Hyper-Active Seller
179,631a50915b9755003d25041f,2023-12-30,2,7,1807802692,258257527.42857143,9584165,0,0.0,2,2,2,Kecil,0,Hyper-Active Seller
181,631a50945b9755003d250462,2023-12-27,5,31,1757652730,56698475.161290325,13182388,0,0.0,7,1,2,Menengah,0,Hyper-Active Seller
183,631a50967255a77e0e6e66e9,2023-12-13,19,7,307262374,43894624.85714286,2304465,0,0.0,1,1,1,Menengah,0,Hyper-Active Seller
185,631a50977255a77e0e6e6aee,2023-11-04,58,2,22866000,11433000.0,171495,0,0.0,1,1,1,Menengah,0,Hyper-Active Seller
186,631a50977255a77e0e6e6af4,2023-12-08,24,3,642883140,214294380.0,3797165,0,0.0,1,1,1,Menengah,0,Hyper-Active Seller
187,631a50997255a77e0e6e6ee3,2023-12-30,2,96,4358859817,45404789.760416664,31880159,0,0.0,20,3,7,Menengah,0,Hyper-Active Seller
189,631a50997255a77e0e6e6fb7,2023-11-24,38,5,504253020,100850604.0,3781897,0,0.0,1,1,1,Kecil,0,Hyper-Active Seller
190,631a50997255a77e0e6e6fbd,2023-12-28,4,3,238749999,79583333.0,1790622,0,0.0,1,1,1,Kecil,0,Hyper-Active Seller
191,631a50997255a77e0e6e6fd3,2023-12-12,20,1,16067250,16067250.0,120504,0,0.0,1,1,1,Kecil,0,Hyper-Active Seller
192,631a509a7255a77e0e6e7021,2023-12-21,11,1,4950000,4950000.0,37125,0,0.0,1,1,1,Kecil,0,Hyper-Active Seller
193,631a509a7255a77e0e6e702b,2023-12-06,26,14,662349073,47310648.071428575,4967613,0,0.0,1,1,1,Menengah,0,Hyper-Active Seller
194,631a509a7255a77e0e6e702d,2023-12-12,20,12,894389450,74532454.16666667,6707920,0,0.0,2,1,1,Mikro,0,Hyper-Active Seller
196,631a509a7255a77e0e6e703d,2023-11-25,37,7,1345749570,192249938.57142857,7305788,0,0.0,1,1,1,Besar,0,Hyper-Active Seller
200,631a509a7255a77e0e6e70a5,2023-11-30,32,15,1750331170,116688744.66666667,11904648,0,0.0,1,1,1,Mikro,0,Hyper-Active Seller
205,631a509b7255a77e0e6e7113,2023-11-08,54,1,46303650,46303650.0,347277,0,0.0,1,1,1,Mikro,0,Hyper-Active Seller
206,631a509b7255a77e0e6e711d,2023-12-22,10,10,173314260,17331426.0,1299852,0,0.0,7,2,3,Menengah,0,Hyper-Active Seller
207,631a509b7255a77e0e6e7123,2023-12-29,3,62,1975485087,31862662.69354839,14816218,0,0.0,1,1,1,Menengah,0,Hyper-Active Seller
208,631a509b7255a77e0e6e7125,2023-11-28,34,5,184717947,36943589.4,1385383,0,0.0,1,1,1,Mikro,0,Hyper-Active Seller
209,631a509b7255a77e0e6e7147,2023-11-12,50,1,84804000,84804000.0,636030,0,0.0,1,1,1,Mikro,0,Hyper-Active Seller
211,631a509b7255a77e0e6e719d,2023-12-21,11,5,165229905,33045981.0,1239222,0,0.0,2,1,1,Mikro,0,Hyper-Active Seller
212,631a509b7255a77e0e6e719f,2023-12-14,18,7,142310433,20330061.85714286,1067324,0,0.0,1,1,1,Kecil,0,Hyper-Active Seller
214,631a509c7255a77e0e6e71b3,2023-12-21,11,16,1011725000,63232812.5,6733234,0,0.0,1,1,1,Mikro,0,Hyper-Active Seller
215,631a509c7255a77e0e6e71b7,2023-12-07,25,2,33688500,16844250.0,252663,0,0.0,1,1,1,Kecil,0,Hyper-Active Seller
216,631a509c7255a77e0e6e71bd,2023-12-14,18,2,47873190,23936595.0,359048,0,0.0,2,1,1,Mikro,0,Hyper-Active Seller
218,631a509c7255a77e0e6e71d1,2023-12-13,19,1,8880000,8880000.0,66600,0,0.0,1,1,1,Kecil,0,Hyper-Active Seller
219,631a509c7255a77e0e6e71d9,2023-12-08,24,7,73260000,10465714.285714285,549447,0,0.0,1,1,1,Kecil,0,Hyper-Active Seller
220,631a509c7255a77e0e6e71e7,2023-12-27,5,5,605057000,121011400.0,4537927,0,0.0,1,1,1,Mikro,0,Hyper-Active Seller
221,631a509c7255a77e0e6e71fb,2023-12-07,25,6,186618750,31103125.0,1399639,0,0.0,2,1,1,Mikro,0,Hyper-Active Seller
224,631a509d7255a77e0e6e72c5,2023-12-13,19,31,1819007160,58677650.32258064,13642548,0,0.0,1,1,1,Kecil,0,Hyper-Active Seller
225,631a509d7255a77e0e6e72d9,2023-12-03,29,1,124410000,124410000.0,933075,0,0.0,1,1,1,Mikro,0,Hyper-Active Seller
227,631a509d7255a77e0e6e72ed,2023-12-19,13,12,2191234260,182602855.0,10362553,0,0.0,1,1,1,Kecil,0,Hyper-Active Seller
229,631a509d7255a77e0e6e730b,2023-12-15,17,6,1739669366,289944894.3333333,10191128,0,0.0,1,1,1,Menengah,0,Hyper-Active Seller
230,631a509d7255a77e0e6e7313,2023-12-21,11,36,1469505050,40819584.722222224,11021279,0,0.0,4,2,2,Kecil,0,Hyper-Active Seller
231,631a509e7255a77e0e6e73b5,2023-11-04,58,14,226524663,16180333.07142857,1698929,0,0.0,1,1,1,Menengah,0,Hyper-Active Seller
237,631a509f7255a77e0e6e74b9,2023-12-07,25,6,176026476,29337746.0,1320196,0,0.0,1,1,1,Kecil,0,Hyper-Active Seller
239,631a509f7255a77e0e6e75bd,2023-12-06,26,5,279445830,55889166.0,2095841,0,0.0,1,1,1,Mikro,0,Hyper-Active Seller
240,631a509f7255a77e0e6e75e9,2023-12-15,17,2,168498000,84249000.0,1263734,0,0.0,1,1,1,Menengah,0,Hyper-Active Seller
243,631a509f7255a77e0e6e760f,2023-12-19,13,6,908594860,151432476.66666666,5815460,0,0.0,1,1,1,Menengah,0,Hyper-Active Seller
246,631a50a07255a77e0e6e7633,2023-12-13,19,43,2318690610,53923037.44186047,17390173,0,0.0,4,2,3,Kecil,0,Hyper-Active Seller
247,631a50a07255a77e0e6e763b,2023-12-31,1,701,3029543494,4321745.355206847,21502696,11,844500.0,171,24,65,Mikro,0,Hyper-Active Seller
248,631a50a07255a77e0e6e7647,2023-12-31,1,419,13298464300,31738578.281622913,99738336,0,0.0,6,2,2,Kecil,0,Hyper-Active Seller
249,631a50a07255a77e0e6e7649,2023-12-27,5,40,460794300,11519857.5,3455951,0,0.0,2,1,1,Kecil,0,Hyper-Active Seller
250,631a50a07255a77e0e6e764b,2023-12-27,5,29,74647500,2574051.724137931,559849,0,0.0,1,1,1,Menengah,0,Hyper-Active Seller
251,631a50a07255a77e0e6e766d,2023-12-30,2,5,640999999,128199999.8,4807499,0,0.0,1,1,1,Menengah,0,Hyper-Active Seller
252,631a50a07255a77e0e6e7683,2023-12-31,1,14,1336233150,95445225.0,9177906,0,0.0,1,1,1,Menengah,0,Hyper-Active Seller
253,631a50a07255a77e0e6e76cb,2023-11-24,38,11,1002893360,91172123.63636364,5646196,0,0.0,2,1,1,Mikro,0,Hyper-Active Seller
254,631a50a07255a77e0e6e76d7,2023-12-27,5,3,966439260,322146420.0,4890471,0,0.0,1,1,1,Kecil,0,Hyper-Active Seller
255,631a50a07255a77e0e6e76e9,2023-12-27,5,44,556340650,12644105.681818182,4172540,0,0.0,6,3,3,Menengah,0,Hyper-Active Seller
256,631a50a07255a77e0e6e76ef,2023-12-30,2,9,252049194,28005466.0,1890368,0,0.0,2,1,1,Mikro,0,Hyper-Active Seller
257,631a50a07255a77e0e6e76f5,2023-12-07,25,32,2820806400,88150200.0,21156048,0,0.0,1,1,1,Menengah,0,Hyper-Active Seller
258,631a50a07255a77e0e6e76f7,2023-11-01,61,1,1100000,1100000.0,8250,0,0.0,1,1,1,Kecil,0,Hyper-Active Seller
259,631a50a07255a77e0e6e7703,2023-12-26,6,76,139740146,1838686.1315789474,1048017,0,0.0,25,4,9,Mikro,0,Hyper-Active Seller
260,631a50a07255a77e0e6e770b,2023-12-14,18,64,179846050,2810094.53125,1348811,0,0.0,3,2,2,Kecil,0,Hyper-Active Seller
261,631a50a07255a77e0e6e770f,2023-12-30,2,50,4263278400,85265568.0,31974588,0,0.0,1,1,1,Kecil,0,Hyper-Active Seller
262,631a50a07255a77e0e6e7713,2023-12-27,5,22,180976496,8226204.363636363,1357317,0,0.0,2,1,2,Mikro,0,Hyper-Active Seller
263,631a50a07255a77e0e6e7717,2023-12-27,5,12,24922500,2076875.0,186913,0,0.0,1,1,1,Kecil,0,Hyper-Active Seller
264,631a50a07255a77e0e6e771d,2023-12-20,12,9,19040000,2115555.5555555555,142798,0,0.0,1,1,1,Mikro,0,Hyper-Active Seller
265,631a50a07255a77e0e6e771f,2023-11-17,45,5,67524191,13504838.2,506429,0,0.0,4,3,4,Menengah,0,Hyper-Active Seller
266,631a50a07255a77e0e6e7721,2023-12-27,5,40,108006000,2700150.0,810030,0,0.0,1,1,1,Kecil,0,Hyper-Active Seller
267,631a50a07255a77e0e6e7727,2023-12-12,20,48,237885000,4955937.5,1784123,0,0.0,6,2,3,Kecil,0,Hyper-Active Seller
268,631a50a07255a77e0e6e772d,2023-12-27,5,34,197449450,5807336.764705882,1480862,0,0.0,3,2,3,Kecil,0,Hyper-Active Seller
269,631a50a07255a77e0e6e772f,2023-12-22,10,37,121268456,3277525.8378378376,909492,0,0.0,3,2,3,Menengah,0,Hyper-Active Seller
270,631a50a07255a77e0e6e7735,2023-12-14,18,4,10800000,2700000.0,81000,0,0.0,2,1,1,Mikro,0,Hyper-Active Seller
272,631a50a07255a77e0e6e7759,2023-12-05,27,17,93400000,5494117.647058823,700500,0,0.0,3,1,1,Mikro,0,Hyper-Active Seller
273,631a50a17255a77e0e6e776b,2023-12-30,2,58,1204544460,20768007.931034483,9034065,0,0.0,23,7,11,Menengah,0,Hyper-Active Seller
274,631a50a17255a77e0e6e7805,2023-12-14,18,14,68748907,4910636.214285715,515612,0,0.0,11,5,7,Menengah,0,Hyper-Active Seller
275,631a50a27255a77e0e6e7833,2023-12-22,10,6,17556650,2926108.3333333335,131671,0,0.0,3,2,2,Kecil,0,Hyper-Active Seller
276,631a50a27255a77e0e6e7887,2023-12-30,2,356,25813634635,72510209.6488764,116480827,5,119000.0,61,9,19,Mikro,0,Hyper-Active Seller
277,631a50a27255a77e0e6e7899,2023-12-23,9,44,444200588,10095467.909090908,3331484,0,0.0,11,7,10,Menengah,0,Hyper-Active Seller
278,631a50a37255a77e0e6e78c5,2023-12-13,19,2,57428514,28714257.0,430713,0,0.0,1,1,1,Menengah,0,Hyper-Active Seller
280,631a50a47255a77e0e6e796f,2023-12-23,9,1,48784500,48784500.0,365883,0,0.0,1,1,1,Kecil,0,Hyper-Active Seller
281,631a50a57255a77e0e6e7a49,2023-12-02,30,9,316648948,35183216.44444445,2374864,0,0.0,4,2,3,Menengah,0,Hyper-Active Seller
282,631a50a57255a77e0e6e7b52,2023-12-16,16,62,773784820,12480400.322580645,5803356,0,0.0,43,6,8,Menengah,0,Hyper-Active Seller
283,631a50a67255a77e0e6e7b8c,2023-12-27,5,61,1028899500,16867204.918032788,7716721,0,0.0,8,5,5,Menengah,0,Hyper-Active Seller
284,631a50a67255a77e0e6e7bc4,2023-11-20,42,3,790364997,263454999.0,4529047,0,0.0,1,1,1,Menengah,0,Hyper-Active Seller
285,631a50a67255a77e0e6e7bf3,2023-12-30,2,81,3864737752,47712811.75308642,21608859,0,0.0,18,5,8,Kecil,0,Hyper-Active Seller
286,631a50a67255a77e0e6e7c9b,2023-12-31,1,373,1331795263,3570496.6836461127,9988339,0,0.0,27,3,10,Menengah,0,Hyper-Active Seller
288,631a50a77255a77e0e6e7d60,2023-12-14,18,11,88855500,8077772.7272727275,666411,0,0.0,2,1,1,Menengah,0,Hyper-Active Seller
289,631a50a77255a77e0e6e7e78,2023-11-07,55,17,499439095,29378770.29411765,3745786,0,0.0,7,4,5,Menengah,0,Hyper-Active Seller
290,631a50a87255a77e0e6e7f12,2023-12-28,4,27,81980402,3036311.185185185,614839,0,0.0,10,3,7,Kecil,0,Hyper-Active Seller
291,631a50a87255a77e0e6e7f1a,2023-11-22,40,3,515231824,171743941.33333334,2837104,0,0.0,1,1,1,Menengah,0,Hyper-Active Seller
293,631a50a87255a77e0e6e7f3a,2023-11-30,32,1,605573100,605573100.0,1513932,0,0.0,1,1,1,Kecil,0,Hyper-Active Seller
294,631a50a87255a77e0e6e7f40,2023-12-12,20,15,1652549197,110169946.46666667,12394114,0,0.0,5,1,2,Mikro,0,Hyper-Active Seller
295,631a50a87255a77e0e6e7f4e,2023-10-31,62,2,5093840,2546920.0,38203,0,0.0,2,2,2,Menengah,0,Hyper-Active Seller
296,631a50a87255a77e0e6e7fb4,2023-12-19,13,22,1204154955,54734316.13636363,9031152,0,0.0,8,2,2,Kecil,0,Hyper-Active Seller
298,631a50a87255a77e0e6e800a,2023-11-11,51,5,10262379,2052475.8,76966,0,0.0,5,2,3,Menengah,0,Hyper-Active Seller
299,631a50a87255a77e0e6e8016,2023-12-19,13,35,1840880860,52596596.0,13806602,0,0.0,4,2,3,Menengah,0,Hyper-Active Seller
300,631a50a87255a77e0e6e801e,2023-12-12,20,6,85229704,14204950.666666666,639220,0,0.0,5,2,3,Kecil,0,Hyper-Active Seller
301,631a50a97255a77e0e6e8068,2023-12-02,30,3,378000,126000.0,2835,0,0.0,3,1,1,Kecil,0,Hyper-Active Seller
303,631a50a97255a77e0e6e8078,2023-12-28,4,31,244856645,7898601.451612903,1836413,0,0.0,7,2,2,Mikro,0,Hyper-Active Seller
304,631a50a97255a77e0e6e807e,2023-12-04,28,5,176207620,35241524.0,1321555,0,0.0,2,2,2,Kecil,0,Hyper-Active Seller
305,631a50a97255a77e0e6e8092,2023-11-15,47,2,262687050,131343525.0,1970152,0,0.0,1,1,1,Kecil,0,Hyper-Active Seller
306,631a50a97255a77e0e6e80a4,2023-12-30,2,38,3659128355,96292851.44736843,24987673,0,0.0,20,13,18,Kecil,0,Hyper-Active Seller
307,631a50a97255a77e0e6e80aa,2023-11-09,53,6,1875491520,312581920.0,9996697,0,0.0,1,1,1,Kecil,0,Hyper-Active Seller
308,631a50a97255a77e0e6e80b6,2023-12-28,4,13,2428257390,186789030.0,13566462,0,0.0,5,1,1,Menengah,0,Hyper-Active Seller
309,631a50aa7255a77e0e6e80ca,2023-12-06,26,15,2907384596,193825639.73333332,18074516,0,0.0,5,2,5,Kecil,0,Hyper-Active Seller
310,631a50aa7255a77e0e6e80d0,2023-12-20,12,3,989713740,329904580.0,4948568,0,0.0,1,1,1,Kecil,0,Hyper-Active Seller
