seller_id,last_transaction,recency_day,order_freq,gmv,aov,revenue,voucher_used,voucher_val,buyer_count,num_of_buyer_province,num_of_buyer_city,seller_category,cluster,cluster_name
631a50785b9755003d24f9e1,2023-12-13,19,3,986728950,328909650.0,4933643,0,0.0,2,1,1,Kecil,0,Hyper-Active Seller
631a50785b9755003d24f9ed,2023-04-19,257,3,757980150,252660050.0,4030811,0,0.0,2,1,1,Menengah,1,Big Order Occasional Seller
631a50785b9755003d24f9f6,2023-08-26,128,1,105450000,105450000.0,790875,0,0.0,1,1,1,Kecil,2,Seasonal Seller
631a50787255a77e0e6e316e,2023-12-19,13,15,586240905,39082727.0,4396803,0,0.0,2,1,1,Mikro,0,Hyper-Active Seller
631a50787255a77e0e6e31bd,2023-09-13,110,2,27513792,13756896.0,206352,0,0.0,1,1,1,Mikro,2,Seasonal Seller
631a50787255a77e0e6e31c2,2023-10-12,81,3,68768700,22922900.0,515764,0,0.0,1,1,1,Menengah,2,Seasonal Seller
631a50795b9755003d24fafa,2023-12-15,17,11,852442957,77494814.27272727,6393319,0,0.0,5,3,3,Kecil,0,Hyper-Active Seller
631a50795b9755003d24fb0c,2023-09-01,122,3,325200790,108400263.33333333,2439004,0,0.0,1,1,1,Swasta,2,Seasonal Seller
631a50795b9755003d24fb14,2023-12-30,2,10,512653980,51265398.0,3844902,0,0.0,6,3,4,Kecil,0,Hyper-Active Seller
631a50797255a77e0e6e3215,2023-06-17,198,1,1200000,1200000.0,9000,0,0.0,1,1,1,Kecil,1,Big Order Occasional Seller
631a50797255a77e0e6e3276,2023-12-26,6,31,12796171710,412779732.58064514,43385405,0,0.0,1,1,1,Mikro,0,Hyper-Active Seller
631a50797255a77e0e6e32a2,2023-12-13,19,9,732729656,81414406.22222222,5495469,0,0.0,1,1,1,Mikro,0,Hyper-Active Seller
631a50797255a77e0e6e32a6,2023-12-24,8,4,1400990796,350247699.0,5348278,0,0.0,1,1,1,Mikro,0,Hyper-Active Seller
631a507a5b9755003d24fb58,2023-10-20,73,4,385410000,96352500.0,2890575,0,0.0,1,1,1,Menengah,2,Seasonal Seller
631a507a5b9755003d24fb68,2023-12-28,4,10,2523127050,252312705.0,13181592,0,0.0,3,2,2,Kecil,0,Hyper-Active Seller
631a507a5b9755003d24fb74,2023-11-24,38,3,369623340,123207780.0,1944876,0,0.0,2,2,2,Kecil,0,Hyper-Active Seller
631a507a5b9755003d24fbc0,2023-12-30,2,104,7221673763,69439170.79807693,54162524,0,0.0,6,1,2,Menengah,0,Hyper-Active Seller
631a507a7255a77e0e6e3327,2023-11-23,39,2,649849000,324924500.0,1899622,0,0.0,2,1,2,Menengah,0,Hyper-Active Seller
631a507a7255a77e0e6e3333,2023-12-15,17,3,40237500,13412500.0,301781,0,0.0,3,1,2,Kecil,0,Hyper-Active Seller
631a507b5b9755003d24fc0e,2023-12-13,19,2,213369750,106684875.0,1600272,0,0.0,1,1,1,Kecil,0,Hyper-Active Seller
631a507b5b9755003d24fc10,2023-12-08,24,31,5488156753,177037314.61290324,32579806,0,0.0,4,1,2,Kecil,0,Hyper-Active Seller
631a507b5b9755003d24fc34,2023-12-30,2,227,10685173398,47071248.4493392,80138702,0,0.0,63,9,17,Menengah,0,Hyper-Active Seller
631a507b5b9755003d24fc44,2023-10-12,81,5,383009059,76601811.8,2872565,0,0.0,5,3,4,Kecil,2,Seasonal Seller
631a507b5b9755003d24fc4a,2023-08-29,125,2,86366,43183.0,647,1,25000.0,2,2,2,Menengah,2,Seasonal Seller
631a507b5b9755003d24fc50,2023-12-09,23,1,19425000,19425000.0,145687,0,0.0,1,1,1,Menengah,0,Hyper-Active Seller
631a507b5b9755003d24fc64,2023-12-28,4,71,5052413190,71160749.15492958,37893086,0,0.0,16,6,8,Menengah,0,Hyper-Active Seller
631a507b5b9755003d24fc77,2023-11-18,44,1,327752700,327752700.0,1638763,0,0.0,1,1,1,Kecil,0,Hyper-Active Seller
631a507b5b9755003d24fc81,2023-12-29,3,32,2361212828,73787900.875,17709080,0,0.0,3,1,1,Kecil,0,Hyper-Active Seller
631a507b7255a77e0e6e33cc,2023-05-24,222,1,47818000,47818000.0,358635,0,0.0,1,1,1,Menengah,1,Big Order Occasional Seller
631a507b7255a77e0e6e3452,2023-12-08,24,2,46203750,23101875.0,346527,0,0.0,1,1,1,Mikro,0,Hyper-Active Seller
631a507b7255a77e0e6e3467,2023-10-12,81,9,1495220400,166135600.0,9709604,0,0.0,1,1,1,Mikro,2,Seasonal Seller
631a507c5b9755003d24fcc3,2023-11-02,60,12,1931444843,160953736.91666666,12944379,0,0.0,9,3,8,Kecil,0,Hyper-Active Seller
631a507c5b9755003d24fccb,2023-11-21,41,3,231425565,77141855.0,1735690,0,0.0,2,1,1,Kecil,0,Hyper-Active Seller
631a507c5b9755003d24fcd3,2023-12-29,3,80,8516111537,106451394.2125,55275883,0,0.0,15,4,10,Kecil,0,Hyper-Active Seller
631a507c5b9755003d24fcfd,2023-12-30,2,53,5190760296,97938873.50943395,37544127,0,0.0,18,5,12,Mikro,0,Hyper-Active Seller
631a507c5b9755003d24fd09,2023-06-09,206,5,397297504,79459500.8,2979729,0,0.0,1,1,1,Kecil,1,Big Order Occasional Seller
631a507c5b9755003d24fd0b,2023-12-12,20,3,322543800,107514600.0,2419077,0,0.0,2,2,2,Kecil,0,Hyper-Active Seller
631a507c5b9755003d24fd27,2023-12-20,12,27,966482575,35795650.925925925,7248611,0,0.0,5,1,1,Kecil,0,Hyper-Active Seller
631a507c5b9755003d24fd2f,2023-11-21,41,3,178915000,59638333.333333336,1341862,0,0.0,2,1,1,Kecil,0,Hyper-Active Seller
631a507c5b9755003d24fd45,2023-12-27,5,28,1855203228,66257258.14285714,13914016,0,0.0,8,2,4,Kecil,0,Hyper-Active Seller
631a507c5b9755003d24fd47,2023-12-28,4,20,864342586,43217129.3,6482562,0,0.0,5,2,3,Kecil,0,Hyper-Active Seller
631a507c5b9755003d24fd6b,2023-11-28,34,4,275105060,68776265.0,2063286,0,0.0,3,1,3,Kecil,0,Hyper-Active Seller
631a507c7255a77e0e6e3513,2023-07-21,164,2,97250000,48625000.0,729375,0,0.0,1,1,1,Mikro,2,Seasonal Seller
631a507c7255a77e0e6e3536,2023-11-24,38,3,155516495,51838831.666666664,1166372,0,0.0,2,1,1,Kecil,0,Hyper-Active Seller
631a507d5b9755003d24fd85,2023-11-29,33,8,532518646,66564830.75,3993886,0,0.0,5,3,3,Menengah,0,Hyper-Active Seller
