buyer_id,last_transaction,recency_day,order_freq,gmv,aov,revenue,voucher_used,voucher_val,seller_count,num_of_seller_province,num_of_seller_city,cluster,cluster_name
631a51557255a77e0e6eba0e,2023-01-25,341,1,7953000,7953000.0,59647,0,0.0,1,1,1,1,Small Order Occasional Buyer
631a51597255a77e0e6ebb8f,2023-01-26,340,1,53280000,53280000.0,399600,0,0.0,1,1,1,1,Small Order Occasional Buyer
631a51707255a77e0e6ec458,2023-01-25,341,1,36963000,36963000.0,277222,0,0.0,1,1,1,1,Small Order Occasional Buyer
631a51aa7255a77e0e6ed745,2023-01-25,341,1,19800000,19800000.0,148500,0,0.0,1,1,1,1,Small Order Occasional Buyer
631a51b35b9755003d255bab,2023-04-05,271,1,4648680,4648680.0,34865,0,0.0,1,1,1,1,Small Order Occasional Buyer
631a51b77255a77e0e6eda47,2023-06-15,200,3,3064180,1021393.3333333334,22980,0,0.0,1,1,1,1,Small Order Occasional Buyer
631a51bd5b9755003d255e11,2023-02-12,323,1,1623375,1623375.0,12175,0,0.0,1,1,1,1,Small Order Occasional Buyer
631a51fd7255a77e0e6eeb74,2023-04-18,258,1,6597840,6597840.0,49483,0,0.0,1,1,1,1,Small Order Occasional Buyer
631a52157255a77e0e6ef165,2023-06-10,205,1,3207900,3207900.0,24059,0,0.0,1,1,1,1,Small Order Occasional Buyer
631a52247255a77e0e6ef560,2023-02-04,331,1,321000,321000.0,2407,0,0.0,1,1,1,1,Small Order Occasional Buyer
631a52277255a77e0e6ef616,2023-04-08,268,2,4696188,2348094.0,35221,0,0.0,2,2,2,1,Small Order Occasional Buyer
631a52297255a77e0e6ef694,2023-05-30,216,1,4795000,4795000.0,35962,0,0.0,1,1,1,1,Small Order Occasional Buyer
631a52327255a77e0e6ef8cf,2023-01-03,363,1,550000,550000.0,4125,0,0.0,1,1,1,1,Small Order Occasional Buyer
631a52357255a77e0e6ef998,2023-03-31,276,3,22908000,7636000.0,171810,0,0.0,1,1,1,1,Small Order Occasional Buyer
631a52427255a77e0e6efcd7,2023-03-23,284,1,3635000,3635000.0,27262,0,0.0,1,1,1,1,Small Order Occasional Buyer
631a52437255a77e0e6efd15,2023-05-21,225,1,99000,99000.0,742,0,0.0,1,1,1,1,Small Order Occasional Buyer
631a52497255a77e0e6efe89,2023-06-14,201,2,4403050,2201525.0,33022,0,0.0,2,2,2,1,Small Order Occasional Buyer
631a524d7255a77e0e6effc4,2023-06-16,199,2,1050620,525310.0,7879,0,0.0,2,2,2,1,Small Order Occasional Buyer
631a525e7255a77e0e6f0436,2023-05-19,227,1,2036850,2036850.0,15276,0,0.0,1,1,1,1,Small Order Occasional Buyer
631a52945b9755003d25965c,2023-05-27,219,3,63516730,21172243.333333332,476375,0,0.0,1,1,1,1,Small Order Occasional Buyer
631a52a05b9755003d259b5a,2023-06-18,197,2,925000,462500.0,6937,0,0.0,1,1,1,1,Small Order Occasional Buyer
631a52a75b9755003d259e18,2023-06-16,199,3,1522950,507650.0,11421,0,0.0,2,2,2,1,Small Order Occasional Buyer
631a52ba5b9755003d25a5cf,2023-05-19,227,1,532800,532800.0,3996,0,0.0,1,1,1,1,Small Order Occasional Buyer
631a530a5b9755003d25c537,2023-06-07,208,1,10062500,10062500.0,75468,0,0.0,1,1,1,1,Small Order Occasional Buyer
631a53395b9755003d25d6a5,2023-03-09,298,1,3147500,3147500.0,23606,0,0.0,1,1,1,1,Small Order Occasional Buyer
631a53465b9755003d25da7b,2023-01-28,338,1,2466200,2466200.0,18496,0,0.0,1,1,1,1,Small Order Occasional Buyer
631a53fc5b9755003d267777,2023-05-13,233,1,51171000,51171000.0,383782,0,0.0,1,1,1,1,Small Order Occasional Buyer
631a54015b9755003d26794d,2023-05-09,237,1,2497500,2497500.0,18731,0,0.0,1,1,1,1,Small Order Occasional Buyer
631a540e5b9755003d267cb7,2023-06-20,195,1,163900000,163900000.0,1229250,0,0.0,1,1,1,1,Small Order Occasional Buyer
631a541a5b9755003d267faf,2023-01-19,347,1,25800000,25800000.0,193500,0,0.0,1,1,1,1,Small Order Occasional Buyer
631a54287255a77e0e6fae9a,2023-06-10,205,1,4700000,4700000.0,35250,0,0.0,1,1,1,1,Small Order Occasional Buyer
631a54317255a77e0e6fb0db,2023-06-13,202,1,63800002,63800002.0,478500,0,0.0,1,1,1,1,Small Order Occasional Buyer
631a543c7255a77e0e6fb3bc,2023-04-19,257,1,155999,155999.0,1169,0,0.0,1,1,1,1,Small Order Occasional Buyer
631a543d5b9755003d268850,2023-06-15,200,2,10585500,5292750.0,79391,0,0.0,2,1,2,1,Small Order Occasional Buyer
631a54445b9755003d268a1e,2023-05-27,219,1,1494504,1494504.0,11208,0,0.0,1,1,1,1,Small Order Occasional Buyer
631a54605b9755003d269173,2023-03-17,290,1,147491250,147491250.0,1106184,0,0.0,1,1,1,1,Small Order Occasional Buyer
631a54605b9755003d269175,2023-03-31,276,2,23980000,11990000.0,179850,0,0.0,1,1,1,1,Small Order Occasional Buyer
631a546a5b9755003d2693c7,2023-06-13,202,1,56550,56550.0,424,0,0.0,1,1,1,1,Small Order Occasional Buyer
631a546a5b9755003d2693d9,2023-06-23,192,4,2254428,563607.0,16906,0,0.0,1,1,1,1,Small Order Occasional Buyer
631a546a7255a77e0e6fbf0a,2023-03-15,292,1,34790000,34790000.0,260925,0,0.0,1,1,1,1,Small Order Occasional Buyer
631a546c5b9755003d26945c,2023-01-19,347,1,3807500,3807500.0,28556,0,0.0,1,1,1,1,Small Order Occasional Buyer
631a546c7255a77e0e6fbf6e,2023-03-17,290,1,79000,79000.0,592,0,0.0,1,1,1,1,Small Order Occasional Buyer
631a54707255a77e0e6fc08a,2023-06-22,193,1,139645,139645.0,1047,0,0.0,1,1,1,1,Small Order Occasional Buyer
631a54807255a77e0e6fc47b,2023-06-15,200,3,3278850,1092950.0,24590,0,0.0,3,2,3,1,Small Order Occasional Buyer
631a548a7255a77e0e6fc6d4,2023-01-20,346,1,1088910,1088910.0,8166,0,0.0,1,1,1,1,Small Order Occasional Buyer
